district,avg_rainfall,state,groundwater_resource,future_groundwater,groundwater_stress,state_pop,population,availability_score,demand_score,scarcity_score,risk_level
imphal east,0.2616701502126725,manipur,0.011040986034843964,0.010053454376730322,0.002577697062011189,manipur,0.036703877535706975,0.11099639220854128,0.026466023393598236,0.2187339879356334,Low
indore,0.1233392160530475,madhyapradesh,0.19627660337786523,0.0118945143963009,0.34136910864407266,madhya pradesh,0.29293253297534155,0.11178702175346883,0.30746350567596087,2.5245999224642626,High
jabalpur,0.16802836717930367,madhyapradesh,0.23880985446442146,0.1430869713393619,0.1241395471454934,madhya pradesh,0.21904058784488553,0.1817803946128565,0.1905702756350679,0.9936900798424602,Medium
jaipur,0.06403869040357624,rajasthan,0.2573201268056266,0.0,0.6436626731890213,rajasthan,0.5972074679003794,0.10281151420311847,0.6111440294869719,5.417390536808147,High
jaisalmer,0.0,rajasthan,0.02037042771596981,0.0,0.8575529453118134,rajasthan,0.05612653039941411,0.006111128314790943,0.2965544548731339,18.406808578445737,High
jalaun,0.0980887938255841,uttarpradesh,0.3800112566014926,0.19809396450721398,0.14420457541228507,uttar pradesh,0.14879078756192957,0.2126670838628456,0.1474149239170362,0.6620418310585957,Low
jalgaon,0.09111384011472658,maharashtra,0.46937805532408516,0.07627649148486094,0.23591786519816044,maharashtra,0.3795253374931891,0.20014190008857446,0.3364430958046805,1.6010281417597836,High
jalna,0.08773168291869646,maharashtra,0.28704866101002485,0.12819001803604727,0.15961217376021558,maharashtra,0.17323393719918673,0.15966427688130022,0.16914740816749538,0.9969535796025791,Medium
jalpaiguri,0.5991606958417032,west bengal,0.9999999999999999,1.0,0.014382377925539704,west bengal,0.3470881463914578,0.8396642783366812,0.24727641585168234,0.29102837692053535,Low
jammu,0.17505753950503822,j&k,0.22825663771017607,0.16550691462523975,0.09209408594276339,jammu and kashmir,0.13425454807080694,0.18815208150264,0.12160640943239387,0.6137024073137162,Low
jamnagar,0.06254090116759785,gujarat,0.26936772592300956,0.10130286909050076,0.1850669322475761,gujarat,0.1914998936235349,0.13621753897109223,0.18957000521074724,1.2964929278985193,Medium
jamtara,0.18384854572120243,jharkhand,0.03665951916709925,0.027722628958948697,0.0904830252790064,jharkhand,0.06712963593813051,0.09285406272629536,0.07413565274039327,0.7207848749511766,Low
